"Table 208.40. Public elementary and secondary teachers, enrollment, and pupil/teacher ratios, by state or jurisdiction: Selected years, fall 2000 through fall 2016",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26
State or jurisdiction,Pupil/teacher ratio,NA,NA,NA,NA,NA,NA,NA,Fall 2014,NA,NA,NA,NA,Fall 2015,NA,NA,NA,NA,NA,Fall 2016,NA,NA,NA,NA,NA
NA,Fall 2000,NA,Fall 2005,NA,Fall 2010,NA,Fall 2013,NA,Teachers,NA,Enrollment,"Pupil/
teacher ratio",NA,Teachers,NA,Enrollment,NA,"Pupil/
teacher ratio",NA,Teachers,NA,Enrollment,NA,"Pupil/
teacher ratio",NA
North Carolina .................,15.459345124282983,NA,14.806363940458271,NA,15.154975011048982,NA,15.412353707394857,NA,99320.470000000001,NA,1548895,15.594922174653423,NA,99354.570000000007,NA,1544934,NA,15.549702444487455,NA,100219.60999999999,NA,1550062,NA,15.466653681849293,NA
North Dakota ....................,13.413708389632724,NA,12.280769711358241,NA,11.443931590421707,NA,11.804901759259364,NA,9049,NA,106586,11.778760083987182,NA,9194.7399999999998,NA,108644,NA,11.815886039191973,NA,9265.2999999999993,NA,109706,NA,11.840523242636506,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio .............................,15.503831498551042,NA,15.592912478174636,NA,16.05197528521181,NA,16.263619314691052,NA,106526,\3\,1724810,16.191446219702232,\3\,101741.94000000002,NA,1716585,NA,16.871950741257731,NA,102600.18000000001,NA,1710143,NA,16.668031186689923,NA
Oklahoma ........................,15.080836439324266,NA,15.173164726412162,NA,15.987068109250007,NA,16.241204689561865,NA,42073.150000000001,NA,688511,16.364617339086806,NA,42452.419999999998,NA,692878,NA,16.32128392209443,NA,41089.669999999998,NA,693903,NA,16.887529152704317,NA
Oregon ...........................,19.442977148145513,NA,19.480491074578424,NA,20.303622256999201,NA,22.181997868583071,NA,27850.150000000001,NA,601318,21.591194302364617,NA,29086.099999999999,NA,608825,\2\,20.93181966643861,\2\,29755.959999999999,NA,606277,\2\,20.374976979401776,\2\
Pennsylvania .......................,15.511837076682369,NA,14.956935219000465,NA,13.803901259158261,NA,14.466655627880941,NA,122029.58,NA,1743160,14.28473325893607,NA,120892.60999999999,NA,1717414,NA,14.206112350457156,NA,122551.85000000001,NA,1727497,NA,14.096049957630179,NA
Rhode Island .....................,14.78200009394523,NA,10.819605077574048,NA,12.825148504254445,NA,14.455138155852222,NA,9471.1000000000004,NA,141959,14.988649681663164,NA,10631.380000000001,NA,142014,NA,13.358002441827871,NA,10688.74,NA,142150,NA,13.299041795384676,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina ...................,14.927523137946231,NA,14.551232058408695,NA,16.054668837258685,NA,15.485740749970926,NA,49475,NA,756523,15.291015664477008,NA,50236.800000000003,NA,763533,NA,15.198679055990826,NA,50789.400000000001,NA,771250,NA,15.185255191043799,NA
South Dakota ....................,13.68510103966033,NA,13.365319312082375,NA,13.260342295306712,NA,13.763942445710294,NA,9617.7000000000007,NA,133040,13.832829054763613,NA,9638.25,NA,134253,NA,13.92918839000856,NA,9777.1599999999999,NA,136302,NA,13.940858081487876,NA
